Last updated 2005-09-02 12:50:26 ET
AOC: 30.41, 30.27, 18.15
AGY: 46.68, 46.97, 33.29
HMN: 20.27, 20.25, 15.86
HUBG: 33.2, 33.45, 13.25
SLE: 18.94, 25.0, 18.88
TRZ: 22.67, 22.63, 15.75

Last updated 2005-09-02 17:30:42 ET
AGY: 46.7, 46.97, 33.29
HMN: 20.2, 20.25, 15.86
HSP: 40.11, 39.9, 27.35
SLE: 18.93, 25.0, 18.88

Last updated 2005-09-06 15:09:40 ET
AOC: 30.92, 30.97, 18.15
AGY: 46.84, 46.97, 33.58
BABB: 1.23, 1.23, 0.62
EXC: 55.25, 54.88, 35.99
HMN: 20.41, 20.42, 15.86
HSP: 41.08, 40.71, 28.1
GAS: 41.76, 42.15, 35.5
PTV: 19.06, 25.73, 18.88
SLE: 18.92, 25.0, 18.8
USM: 55.21, 55.39, 40.6
UFMC: 5.4, 5.44, 3.82

Last updated 2005-09-02 12:50:26 ET
AOC: 30.41, 30.27, 18.15
AGY: 46.68, 46.97, 33.29
HMN: 20.27, 20.25, 15.86
HUBG: 33.2, 33.45, 13.25
SLE: 18.94, 25.0, 18.88
TRZ: 22.67, 22.63, 15.75

Last updated 2005-09-02 17:30:42 ET
AGY: 46.7, 46.97, 33.29
HMN: 20.2, 20.25, 15.86
HSP: 40.11, 39.9, 27.35
SLE: 18.93, 25.0, 18.88

Last updated 2005-09-06 15:09:40 ET
AOC: 30.92, 30.97, 18.15
AGY: 46.84, 46.97, 33.58
BABB: 1.23, 1.23, 0.62
EXC: 55.25, 54.88, 35.99
HMN: 20.41, 20.42, 15.86
HSP: 41.08, 40.71, 28.1
GAS: 41.76, 42.15, 35.5
PTV: 19.06, 25.73, 18.88
SLE: 18.92, 25.0, 18.8
USM: 55.21, 55.39, 40.6
UFMC: 5.4, 5.44, 3.82

